2022-03-17 16:50:15.252 [main] INFO  c.l.s.SpringBootVueProjectApplication - Starting SpringBootVueProjectApplication using Java 1.8.0_322 on KamenRider with PID 22556 (D:\Disktop\TaskCode\项目\练手项目前后端分离\SpringBootVueProject\target\classes started by KamenRider in D:\Disktop\TaskCode\项目\练手项目前后端分离\SpringBootVueProject)
2022-03-17 16:50:15.254 [main] INFO  c.l.s.SpringBootVueProjectApplication - No active profile set, falling back to default profiles: default
2022-03-17 16:50:16.437 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9090 (http)
2022-03-17 16:50:16.444 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9090"]
2022-03-17 16:50:16.445 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-03-17 16:50:16.445 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
2022-03-17 16:50:16.512 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-03-17 16:50:16.513 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1218 ms
2022-03-17 16:50:17.245 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9090"]
2022-03-17 16:50:17.259 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9090 (http) with context path ''
2022-03-17 16:50:17.409 [main] INFO  c.l.s.SpringBootVueProjectApplication - Started SpringBootVueProjectApplication in 2.666 seconds (JVM running for 4.257)
2022-03-17 16:50:22.225 [http-nio-9090-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-03-17 16:50:22.225 [http-nio-9090-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-03-17 16:50:22.227 [http-nio-9090-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
